Time,FP_FrontLeft_Fx,FP_FrontLeft_Fy,FP_FrontLeft_Fz,
0.0101,-1.06866e-11,-887.947,0,
0.0202,-1.06866e-11,-650.52,0,
0.0303,-1.06866e-11,-338.309,0,
0.0404,-1.06866e-11,-21.757,0,
0.0505,-1.06866e-11,240.799,0,
0.0606,-1.06866e-11,411.516,0,
0.0707,-1.06866e-11,476.176,0,
0.0808,-1.06866e-11,442.44,0,
0.0909,-1.06866e-11,334.454,0,
0.101,-1.06866e-11,185.441,0,
0.1111,-1.06866e-11,29.9986,0,
0.1212,-1.06866e-11,-102.44,0,
0.1313,-1.06866e-11,-192.012,0,
0.1414,-1.06866e-11,-230.282,0,
0.1515,-1.06866e-11,-219.686,0,
0.1616,-1.06866e-11,-171.095,0,
0.1717,-1.06866e-11,-100.299,0,
0.1818,-1.06866e-11,-24.2315,0,
0.1919,-1.06866e-11,42.3153,0,
0.202,-1.06866e-11,88.9873,0,
0.2121,-1.06866e-11,110.939,0,
0.2222,-1.06866e-11,108.706,0,
0.2323,-1.06866e-11,87.1212,0,
0.2424,-1.06866e-11,53.6513,0,
0.2525,-1.06866e-11,16.5561,0,
0.2626,-1.06866e-11,-16.7576,0,
0.2727,-1.06866e-11,-40.9264,0,
0.2828,-1.06866e-11,-53.2311,0,
0.2929,-1.06866e-11,-53.6069,0,
0.303,-1.06866e-11,-44.1694,0,
0.3131,-1.06866e-11,-28.4305,0,
0.3232,-1.06866e-11,-10.405,0,
0.3333,-1.06866e-11,6.21202,0,
0.3434,5.35422,100.578,-0.120786,
0.3535,8.57978,186.55,-0.219277,
0.3636,9.64391,230.6,-0.273809,
0.3737,8.99118,230.363,-0.286713,
0.3838,6.90318,195.325,-0.27168,
0.3939,3.90333,137.805,-0.235025,
0.404,0.530794,71.8803,-0.180799,
0.4141,-2.70378,10.1785,-0.11687,
0.4242,-5.41954,-37.4901,-0.0515871,
0.4343,-7.3759,-65.496,0.00762466,
0.4444,-8.50294,-72.2724,0.0603497,
0.4545,-8.82352,-60.5635,0.117311,
0.4646,-8.35717,-37.0381,0.167972,
