Time,FP_FrontRight_Fx,FP_FrontRight_Fy,FP_FrontRight_Fz,
0.0101,-1.06866e-11,-27.2472,2.13731e-11,
0.0202,-1.06866e-11,26.6254,2.13731e-11,
0.0303,-1.06866e-11,80.2608,2.13731e-11,
0.0404,-1.06866e-11,131.065,2.13731e-11,
0.0505,-1.06866e-11,178.848,2.13731e-11,
0.0606,-1.06866e-11,223.743,2.13731e-11,
0.0707,-1.06866e-11,265.919,2.13731e-11,
0.0808,-1.06866e-11,305.539,2.13731e-11,
0.0909,-1.06866e-11,342.758,2.13731e-11,
0.101,-1.06866e-11,377.721,2.13731e-11,
0.1111,-1.06866e-11,410.566,2.13731e-11,
0.1212,-1.06866e-11,441.42,2.13731e-11,
0.1313,-1.06866e-11,470.405,2.13731e-11,
0.1414,-1.06866e-11,497.633,2.13731e-11,
0.1515,-1.06866e-11,523.211,2.13731e-11,
0.1616,-1.06866e-11,547.238,2.13731e-11,
0.1717,-1.06866e-11,569.81,2.13731e-11,
0.1818,-1.06866e-11,591.014,2.13731e-11,
0.1919,-1.06866e-11,610.933,2.13731e-11,
0.202,-1.06866e-11,629.644,2.13731e-11,
0.2121,-1.06866e-11,647.222,2.13731e-11,
0.2222,-1.06866e-11,663.735,2.13731e-11,
0.2323,-1.06866e-11,679.247,2.13731e-11,
0.2424,-1.06866e-11,693.818,2.13731e-11,
0.2525,-1.06866e-11,707.507,2.13731e-11,
0.2626,-1.06866e-11,720.366,2.13731e-11,
0.2727,-1.06866e-11,732.446,2.13731e-11,
0.2828,-1.06866e-11,743.794,2.13731e-11,
0.2929,-1.06866e-11,754.454,2.13731e-11,
0.303,-1.06866e-11,764.468,2.13731e-11,
0.3131,-1.06866e-11,773.876,2.13731e-11,
0.3232,-1.06866e-11,782.713,2.13731e-11,
0.3333,-1.06866e-11,791.014,2.13731e-11,
0.3434,2.86468,823.292,-0.018343,
0.3535,2.60298,839.611,0.0249823,
0.3636,2.19361,847.689,0.0235678,
0.3737,1.84951,853.806,0.0178392,
0.3838,1.49862,859.586,0.0106268,
0.3939,1.14024,865.219,0.00210234,
0.404,0.834002,870.279,-0.00270331,
0.4141,0.578425,874.798,-0.00523211,
0.4242,0.344042,879.004,-0.00689681,
0.4343,0.133121,882.889,-0.00816538,
0.4444,-0.0573382,886.487,-0.00471166,
0.4545,-0.252488,890.008,0.00598282,
0.4646,-0.37973,892.897,0.0151999,
0.4747,-0.492988,895.58,0.0266068,
0.4848,-0.536299,898.153,0.0706464,
0.4949,-0.457168,900.195,0.0862772,
0.505,-0.347352,902.12,0.0808764,
0.5151,-0.223043,904.063,0.0689993,
0.5252,-0.0931387,905.986,0.0532252,
0.5353,0.0342675,907.832,0.0353769,
0.5454,0.16044,909.62,0.0157968,
0.5555,0.296586,911.453,-0.00255364,
0.5656,0.441837,913.326,-0.0195011,
0.5757,0.438118,914.976,0.000771912,
0.5858,0.284741,916.554,0.0271367,
0.5959,0.113044,918.067,0.037672,
