Time,FP_RearRight_Fx,FP_RearRight_Fy,FP_RearRight_Fz,
0.0101,1.06866e-11,-887.947,2.13731e-11,
0.0202,1.06866e-11,-650.52,2.13731e-11,
0.0303,1.06866e-11,-338.309,2.13731e-11,
0.0404,1.06866e-11,-21.757,2.13731e-11,
0.0505,1.06866e-11,240.799,2.13731e-11,
0.0606,1.06866e-11,411.516,2.13731e-11,
0.0707,1.06866e-11,476.176,2.13731e-11,
0.0808,1.06866e-11,442.44,2.13731e-11,
0.0909,1.06866e-11,334.454,2.13731e-11,
0.101,1.06866e-11,185.441,2.13731e-11,
0.1111,1.06866e-11,29.9986,2.13731e-11,
0.1212,1.06866e-11,-102.44,2.13731e-11,
0.1313,1.06866e-11,-192.012,2.13731e-11,
0.1414,1.06866e-11,-230.282,2.13731e-11,
0.1515,1.06866e-11,-219.686,2.13731e-11,
0.1616,1.06866e-11,-171.095,2.13731e-11,
0.1717,1.06866e-11,-100.299,2.13731e-11,
0.1818,1.06866e-11,-24.2315,2.13731e-11,
0.1919,1.06866e-11,42.3153,2.13731e-11,
0.202,1.06866e-11,88.9873,2.13731e-11,
0.2121,1.06866e-11,110.939,2.13731e-11,
0.2222,1.06866e-11,108.706,2.13731e-11,
0.2323,1.06866e-11,87.1212,2.13731e-11,
0.2424,1.06866e-11,53.6513,2.13731e-11,
0.2525,1.06866e-11,16.5561,2.13731e-11,
0.2626,1.06866e-11,-16.7576,2.13731e-11,
0.2727,1.06866e-11,-40.9264,2.13731e-11,
0.2828,1.06866e-11,-53.2311,2.13731e-11,
0.2929,1.06866e-11,-53.6069,2.13731e-11,
0.303,1.06866e-11,-44.1694,2.13731e-11,
0.3131,1.06866e-11,-28.4305,2.13731e-11,
0.3232,1.06866e-11,-10.405,2.13731e-11,
0.3333,1.06866e-11,6.21202,2.13731e-11,
0.3434,1.06866e-11,18.6577,2.13731e-11,
0.3535,1.06866e-11,25.4335,2.13731e-11,
0.3636,1.06866e-11,26.3455,2.13731e-11,
0.3737,1.06866e-11,22.3015,2.13731e-11,
0.3838,1.06866e-11,14.944,2.13731e-11,
0.3939,1.06866e-11,6.21687,2.13731e-11,
0.404,1.06866e-11,-2.04264,2.13731e-11,
0.4141,1.06866e-11,-8.41877,2.13731e-11,
0.4242,1.06866e-11,-12.0973,2.13731e-11,
0.4343,1.06866e-11,-12.9033,2.13731e-11,
0.4444,1.06866e-11,-11.2163,2.13731e-11,
0.4545,1.06866e-11,-7.79922,2.13731e-11,
0.4646,1.06866e-11,-3.58998,2.13731e-11,
0.4747,1.06866e-11,0.50125,2.13731e-11,
0.4848,1.06866e-11,3.75238,2.13731e-11,
0.4949,1.06866e-11,5.72622,2.13731e-11,
0.505,1.06866e-11,6.29781,2.13731e-11,
0.5151,1.06866e-11,5.61996,2.13731e-11,
0.5252,1.06866e-11,4.04461,2.13731e-11,
0.5353,1.06866e-11,2.02245,2.13731e-11,
0.5454,1.06866e-11,0.0028409,2.13731e-11,
0.5555,1.06866e-11,-1.64755,2.13731e-11,
0.5656,1.06866e-11,-2.69632,2.13731e-11,
0.5757,1.06866e-11,-3.06295,2.13731e-11,
0.5858,1.06866e-11,-2.80569,2.13731e-11,
0.5959,1.06866e-11,-2.08551,2.13731e-11,
0.606,1.06866e-11,-1.11808,2.13731e-11,
0.6161,1.06866e-11,-0.124511,2.13731e-11,
0.6262,1.06866e-11,0.709798,2.13731e-11,
0.6363,1.06866e-11,1.26234,2.13731e-11,
0.6464,1.06866e-11,1.48427,2.13731e-11,
0.6565,1.06866e-11,1.39576,2.13731e-11,
0.6666,1.06866e-11,1.06973,2.13731e-11,
0.6767,1.06866e-11,0.60894,2.13731e-11,
0.6868,1.06866e-11,0.121812,2.13731e-11,
0.6969,1.4693,65.8873,1.75051,
0.707,14.412,627.498,16.7308,
0.7171,25.1193,995.703,26.5282,
0.7272,32.2077,1130.44,31.3278,
0.7373,35.3725,1047.4,31.589,
0.7474,34.8391,799.606,28.1466,
0.7575,30.793,454.788,22.1854,
0.7676,24.1061,90.4248,14.8793,
0.7777,15.9962,-223.671,7.27684,
0.7878,7.61445,-439.607,0.267039,
0.7979,-0.0690506,-536.101,-5.4888,
0.808,-6.33835,-517.478,-9.58818,
0.8181,-10.7639,-408.198,-11.8842,
0.8282,-13.1972,-244.723,-12.4548,
0.8383,-13.7359,-66.6898,-11.5533,
0.8484,-13.211,101.449,-10.2432,
0.8585,-12.0344,233.217,-8.90348,
0.8686,-10.1552,304.964,-7.25602,
0.8787,-7.93046,314.804,-5.53254,
0.8888,-5.66201,272.092,-3.916,
0.8989,-3.58255,193.77,-2.53188,
0.909,-1.85328,100.032,-1.45098,
0.9191,-0.553275,9.90662,-0.674835,
0.9292,0.288324,-61.6533,-0.163135,
0.9393,0.645304,-104.916,0.0925046,
0.9494,0.533422,-116.77,0.10625,
0.9595,0.0395997,-100.699,-0.0771514,
0.9696,-0.742159,-64.3591,-0.410472,
0.9797,-1.71229,-17.5555,-0.846298,
0.9898,-2.75161,29.588,-1.33168,
0.9999,-3.74991,68.6849,-1.81735,
1.01,-4.62252,94.362,-2.26384,
1.0201,-5.3056,104.56,-2.63973,
1.0302,-5.75904,100.299,-2.92409,
1.0403,-5.96811,84.955,-3.10778,
1.0504,-5.94289,63.2429,-3.19323,
1.0605,-5.71438,40.1403,-3.19234,
1.0706,-5.33975,20.1026,-3.12771,
