Time,FP1_Fx,FP1_Fy,FP1_Fz,
0.01,0,-82.6017,0,
0.02,0,-70.384,0,
0.03,0,-61.4245,0,
0.04,0,-54.8543,0,
0.05,0,-50.0362,0,
0.06,0,-46.5031,0,
0.07,0,-43.9121,0,
0.08,0,-42.0121,0,
0.09,0,-40.6188,0,
0.1,0,-39.5971,0,
0.11,0,-38.8478,0,
0.12,0,-38.2984,0,
0.13,0,-37.8955,0,
0.14,0,-37.6,0,
0.15,0,-37.3833,0,
0.16,0,-37.2244,0,
0.17,0,-37.1079,0,
0.18,0,-37.0225,0,
0.19,0,-36.9598,0,
0.2,0,-36.9139,0,
0.21,0,-36.8802,0,
0.22,0,-36.8554,0,
0.23,0,-36.8373,0,
0.24,0,-36.824,0,
0.25,0,-36.8143,0,
0.26,0,-36.8071,0,
0.27,0,-36.8019,0,
0.28,0,-36.7981,0,
0.29,0,-36.7952,0,
0.3,0,-36.7932,0,
0.31,0,-36.7917,0,
0.32,47.9161,257.995,-1.61298,
0.33,87.5569,1485.65,-179.866,
0.34,48.1361,2401.41,-82.3852,
0.35,28.2455,2626.85,-41.9202,
0.36,8.76766,2473.2,-19.5234,
0.37,-9.44312,2120.79,-8.80677,
0.38,-18.8113,1684.53,-5.23195,
0.39,-17.735,1251.93,-4.8777,
0.4,-12.9937,908.309,-3.34343,
0.41,-9.36458,656.27,-2.40297,
0.42,-6.74458,471.445,-1.73048,
0.43,-4.85747,335.909,-1.24629,
0.44,-3.49836,236.518,-0.897582,
0.45,-0.537544,168.583,-2.07389,
0.46,48.4455,185.221,-30.759,
0.47,52.6286,195.084,-16.1035,
0.48,45.1526,215.199,16.8449,
0.49,-19.4758,305.392,55.7959,
0.5,-5.32237,362.836,77.0344,
0.51,16.3057,397.895,80.8227,
0.52,19.642,409.499,86.3554,
0.53,16.0755,405.688,87.621,
0.54,3.16771,394.319,87.8554,
0.55,-9.67826,380.995,82.4993,
0.56,-13.4141,366.128,70.1079,
0.57,-14.6756,356.848,55.1853,
0.58,-15.0086,353.535,40.5223,
0.59,-15.1768,354.172,28.4234,
0.6,-15.5939,356.116,20.2077,
0.61,-16.1637,357.277,15.4539,
0.62,-17.6013,356.217,11.7842,
0.63,-20.0639,353.397,9.48224,
0.64,-23.5444,348.709,5.57954,
0.65,-27.2726,343.189,-0.238556,
0.66,-30.413,338.541,-7.90492,
0.67,-32.219,337.035,-16.68,
0.68,-32.4183,338.13,-26.6941,
0.69,-31.5832,341.825,-36.3488,
0.7,-29.3484,347.308,-44.4463,
0.71,-26.6977,353.063,-50.8391,
0.72,-24.1991,357.863,-55.3139,
0.73,-21.5087,361.546,-57.1784,
0.74,-18.7439,363.697,-56.9822,
0.75,-15.841,364.266,-55.3512,
0.76,-12.631,363.644,-52.8647,
0.77,-8.97503,362.534,-49.9968,
0.78,-4.86077,361.735,-47.017,
0.79,-0.39746,361.923,-43.9508,
0.8,4.24679,363.485,-40.7029,
0.81,8.86613,366.414,-37.1828,
0.82,13.2257,370.304,-33.2864,
0.83,17.1182,374.454,-28.8716,
0.84,20.4117,378.137,-23.8284,
0.85,23.06,380.79,-18.1348,
0.86,25.0898,382.131,-11.8852,
0.87,26.5714,382.211,-5.27925,
0.88,27.5857,381.38,1.4222,
0.89,28.1929,380.187,7.9502,
0.9,28.417,379.225,14.0578,
0.91,28.2368,378.958,19.5547,
0.92,27.6114,379.578,24.3292,
0.93,26.48,380.985,28.3469,
0.94,24.7852,382.835,31.6559,
0.95,22.492,384.666,34.3519,
0.96,19.5996,386.047,36.5358,
0.97,16.1501,386.697,38.2781,
0.98,12.2283,386.546,39.6031,
0.99,7.95437,385.738,40.491,
1,3.46848,384.578,40.895,
1.01,-1.04878,383.487,40.65,
1.02,-5.41033,382.844,39.5542,
1.03,-9.68301,382.539,37.8941,
1.04,-13.9542,382.377,35.9681,
1.05,-18.2576,382.178,33.9566,
1.06,-22.2783,382.248,31.3614,
1.07,-25.9034,382.408,28.0977,
1.08,-29.1934,382.305,24.4635,
1.09,-32.1251,381.777,20.6095,
1.1,-34.6333,380.79,16.6244,
1.11,-36.6399,379.404,12.5773,
1.12,-38.0769,377.737,8.53275,
1.13,-38.8981,375.931,4.55298,
1.14,-39.0846,374.112,0.697215,
1.15,-38.6433,372.362,-2.979,
1.16,-37.6032,370.703,-6.42674,
1.17,-36.0071,369.107,-9.61319,
1.18,-33.8953,367.531,-12.5353,
1.19,-31.2891,365.937,-15.2207,
1.2,-28.1886,364.299,-17.6943,
1.21,-24.6098,362.578,-19.9251,
1.22,-20.679,360.675,-21.8927,
1.23,-16.5846,358.411,-23.8278,
1.24,-12.102,356.021,-25.564,
1.25,-7.07152,353.982,-26.4637,
1.26,-1.8715,352.21,-26.6197,
1.27,3.33858,350.605,-26.2904,
1.28,8.49094,349.174,-25.5796,
1.29,13.5109,347.959,-24.524,
1.3,18.2872,346.947,-23.1536,
