Time,FP_RearRight_Fx,FP_RearRight_Fy,FP_RearRight_Fz,
0.01,5.34328e-12,-90.2793,1.06866e-11,
0.02,5.34328e-12,-82.6017,1.06866e-11,
0.03,5.34328e-12,-76.0201,1.06866e-11,
0.04,5.34328e-12,-70.384,5.34328e-12,
0.05,5.34328e-12,-65.5576,5.34328e-12,
0.06,5.34328e-12,-61.4245,5.34328e-12,
0.07,5.34328e-12,-57.8852,5.34328e-12,
0.08,5.34328e-12,-54.8543,5.34328e-12,
0.09,5.34328e-12,-52.2588,5.34328e-12,
0.1,5.34328e-12,-50.0362,5.34328e-12,
0.11,5.34328e-12,-48.1329,-1.06866e-11,
0.12,5.34328e-12,-46.5031,-1.06866e-11,
0.13,5.34328e-12,-45.1073,-1.06866e-11,
0.14,5.34328e-12,-43.9121,-1.06866e-11,
0.15,5.34328e-12,-42.8886,-1.06866e-11,
0.16,5.34328e-12,-42.0121,-1.06866e-11,
0.17,5.34328e-12,-41.2616,-1.06866e-11,
0.18,5.34328e-12,-40.6188,-1.06866e-11,
0.19,5.34328e-12,-40.0684,-1.06866e-11,
0.2,5.34328e-12,-39.5971,-1.06866e-11,
0.21,5.34328e-12,-39.1935,-1.06866e-11,
0.22,5.34328e-12,-38.8478,5.34328e-12,
0.23,5.34328e-12,-38.5518,5.34328e-12,
0.24,5.34328e-12,-38.2984,5.34328e-12,
0.25,5.34328e-12,-38.0813,5.34328e-12,
0.26,5.34328e-12,-37.8955,5.34328e-12,
0.27,5.34328e-12,-37.7363,5.34328e-12,
0.28,5.34328e-12,-37.6,5.34328e-12,
0.29,5.34328e-12,-37.4833,5.34328e-12,
0.3,5.34328e-12,-37.3833,5.34328e-12,
0.31,5.34328e-12,-37.2977,5.34328e-12,
0.32,5.34328e-12,-37.2244,5.34328e-12,
0.33,5.34328e-12,-37.1617,5.34328e-12,
0.34,5.34328e-12,-37.1079,5.34328e-12,
0.35,-1.60298e-11,-37.0619,5.34328e-12,
0.36,-1.60298e-11,-37.0225,5.34328e-12,
0.37,-1.60298e-11,-36.9887,5.34328e-12,
0.38,-1.60298e-11,-36.9598,5.34328e-12,
0.39,-1.60298e-11,-36.935,5.34328e-12,
0.4,-1.60298e-11,-36.9139,5.34328e-12,
0.41,-1.60298e-11,-36.8957,5.34328e-12,
0.42,-1.60298e-11,-36.8802,5.34328e-12,
0.43,-1.60298e-11,-36.8668,5.34328e-12,
0.44,-1.60298e-11,-36.8554,-1.06866e-11,
0.45,-1.60298e-11,-36.8457,-1.06866e-11,
0.46,-1.60298e-11,-36.8373,-1.06866e-11,
0.47,-1.60298e-11,-36.8302,-1.06866e-11,
0.48,-1.60298e-11,-36.824,-1.06866e-11,
0.49,-1.60298e-11,-36.8188,-1.06866e-11,
0.5,-1.60298e-11,-36.8143,-1.06866e-11,
0.51,-1.60298e-11,-36.8104,-1.06866e-11,
0.52,-1.60298e-11,-36.8071,-1.06866e-11,
0.53,-1.60298e-11,-36.8043,-1.06866e-11,
0.54,5.34328e-12,-36.8019,-1.06866e-11,
0.55,5.34328e-12,-36.7998,5.34328e-12,
0.56,5.34328e-12,-36.7981,5.34328e-12,
0.57,5.34328e-12,-36.7965,5.34328e-12,
0.58,5.34328e-12,-36.7952,5.34328e-12,
0.59,5.34328e-12,-36.7941,5.34328e-12,
0.6,5.34328e-12,-36.7932,5.34328e-12,
0.61,5.34328e-12,-36.7924,5.34328e-12,
0.62,5.34328e-12,-36.7917,5.34328e-12,
0.63,5.34328e-12,-36.7911,5.34328e-12,
0.64,5.34328e-12,-36.7906,5.34328e-12,
0.65,5.34328e-12,-36.7901,5.34328e-12,
0.66,5.34328e-12,-36.7897,5.34328e-12,
0.67,5.34328e-12,-36.7894,5.34328e-12,
0.68,5.34328e-12,-36.7891,5.34328e-12,
0.69,5.34328e-12,-36.7889,5.34328e-12,
0.7,5.34328e-12,-36.7887,5.34328e-12,
0.71,5.34328e-12,-36.7885,5.34328e-12,
0.72,5.34328e-12,-36.7884,5.34328e-12,
0.73,5.34328e-12,-36.7883,5.34328e-12,
0.74,5.34328e-12,-36.7881,5.34328e-12,
0.75,5.34328e-12,-36.7881,5.34328e-12,
0.76,5.34328e-12,-36.788,5.34328e-12,
0.77,5.34328e-12,-36.7879,-1.06866e-11,
0.78,5.34328e-12,-36.7878,-1.06866e-11,
0.79,5.34328e-12,-36.7878,-1.06866e-11,
0.8,5.34328e-12,-36.7878,-1.06866e-11,
0.81,5.34328e-12,-36.7877,-1.06866e-11,
0.82,5.34328e-12,-36.7877,-1.06866e-11,
0.83,5.34328e-12,-36.7877,-1.06866e-11,
0.84,5.34328e-12,-36.7876,-1.06866e-11,
0.85,5.34328e-12,-36.7876,-1.06866e-11,
0.86,5.34328e-12,-36.7876,-1.06866e-11,
0.87,5.34328e-12,-36.7876,-1.06866e-11,
0.88,5.34328e-12,-36.7876,5.34328e-12,
0.89,5.34328e-12,-36.7876,5.34328e-12,
0.9,5.34328e-12,-36.7876,5.34328e-12,
0.91,5.34328e-12,-36.7875,5.34328e-12,
0.92,5.34328e-12,-36.7875,5.34328e-12,
0.93,5.34328e-12,-36.7875,5.34328e-12,
0.94,5.34328e-12,-36.7875,5.34328e-12,
0.95,5.34328e-12,-36.7875,5.34328e-12,
0.96,5.34328e-12,-36.7875,5.34328e-12,
0.97,5.34328e-12,-36.7875,5.34328e-12,
0.98,5.34328e-12,-36.7875,5.34328e-12,
0.99,5.34328e-12,-36.7875,5.34328e-12,
1,5.34328e-12,-36.7875,5.34328e-12,
1.01,5.34328e-12,-36.7875,5.34328e-12,
1.02,5.34328e-12,-36.7875,5.34328e-12,
1.03,5.34328e-12,-36.7875,5.34328e-12,
1.04,5.34328e-12,-36.7875,5.34328e-12,
1.05,5.34328e-12,-36.7875,5.34328e-12,
