Time,FP_FrontLeft_Fx,FP_FrontLeft_Fy,FP_FrontLeft_Fz,
0.0101,-1.06866e-11,-57.7632,0,
0.0202,-1.06866e-11,-54.3608,0,
0.0303,-1.06866e-11,-51.1587,0,
0.0404,-1.06866e-11,-48.1452,0,
0.0505,-1.06866e-11,-45.3092,0,
0.0606,-1.06866e-11,-42.6402,0,
0.0707,-1.06866e-11,-40.1283,0,
0.0808,-1.06866e-11,-37.7644,0,
0.0909,-1.06866e-11,-35.5397,0,
0.101,-1.06866e-11,-33.446,0,
0.1111,-1.06866e-11,-31.4756,0,
0.1212,-1.06866e-11,-29.6213,0,
0.1313,-1.06866e-11,-27.8761,0,
0.1414,-1.06866e-11,-26.2338,0,
0.1515,-1.06866e-11,-24.6881,0,
0.1616,-1.06866e-11,-23.2335,0,
0.1717,-1.06866e-11,-21.8645,0,
0.1818,-1.06866e-11,-20.5762,0,
0.1919,-1.06866e-11,-19.3637,0,
0.202,-1.06866e-11,-18.2226,0,
0.2121,-1.06866e-11,-17.1487,0,
0.2222,-1.06866e-11,-16.1381,0,
0.2323,-1.06866e-11,-15.187,0,
0.2424,-1.06866e-11,-14.2919,0,
0.2525,-1.06866e-11,-13.4495,0,
0.2626,-1.06866e-11,-12.6567,0,
0.2727,-1.06866e-11,-11.9106,0,
0.2828,-1.06866e-11,-11.2085,0,
0.2929,-1.06866e-11,-10.5477,0,
0.303,-1.06866e-11,-9.92576,0,
0.3131,-1.06866e-11,-9.34049,0,
0.3232,-1.06866e-11,-8.78969,0,
0.3333,-1.06866e-11,-8.27133,0,
0.3434,-1.06866e-11,-7.78349,0,
0.3535,-1.06866e-11,-7.32438,0,
0.3636,-1.06866e-11,-6.89231,0,
0.3737,-1.06866e-11,-6.48568,0,
0.3838,-1.06866e-11,-6.103,0,
0.3939,-1.06866e-11,-5.74285,0,
0.404,-1.06866e-11,-5.40392,0,
0.4141,-1.06866e-11,-5.08494,0,
0.4242,-1.06866e-11,-4.78475,0,
0.4343,-1.06866e-11,-4.50224,0,
0.4444,-1.06866e-11,-4.23636,0,
0.4545,-1.06866e-11,-3.98615,0,
0.4646,-1.06866e-11,-3.75066,0,
0.4747,-1.06866e-11,-3.52905,0,
0.4848,-1.06866e-11,-3.32049,0,
0.4949,-1.06866e-11,-3.12421,0,
0.505,-1.06866e-11,-2.93948,0,
0.5151,-1.06866e-11,-2.76564,0,
0.5252,-1.06866e-11,-2.60203,0,
0.5353,-1.06866e-11,-2.44806,0,
0.5454,-1.06866e-11,-2.30316,0,
0.5555,-1.06866e-11,-2.16679,0,
0.5656,-1.06866e-11,-2.03845,0,
0.5757,-1.06866e-11,-1.91767,0,
0.5858,-1.06866e-11,-1.804,0,
0.5959,-1.06866e-11,-1.69702,0,
0.606,-1.06866e-11,-1.59635,0,
0.6161,-1.06866e-11,-1.5016,0,
0.6262,-1.06866e-11,-1.41244,0,
0.6363,-1.06866e-11,-1.32852,0,
0.6464,-1.06866e-11,-1.24955,0,
0.6565,-1.06866e-11,-1.17523,0,
0.6666,-1.06866e-11,-1.10528,0,
0.6767,-1.06866e-11,-1.03945,0,
0.6868,-1.06866e-11,-0.977504,0,
0.6969,-1.06866e-11,-0.919202,0,
0.707,-1.06866e-11,-0.864334,0,
0.7171,-1.06866e-11,-0.812697,0,
0.7272,-1.06866e-11,-0.764101,0,
0.7373,-1.06866e-11,-0.718366,0,
0.7474,-1.06866e-11,-0.675325,0,
0.7575,-1.06866e-11,-0.634819,0,
0.7676,-1.06866e-11,-0.596698,0,
0.7777,-1.06866e-11,-0.560822,0,
0.7878,-1.06866e-11,-0.527059,0,
0.7979,-1.06866e-11,-0.495284,0,
0.808,-1.06866e-11,-0.46538,0,
0.8181,-1.06866e-11,-0.437238,0,
0.8282,-1.06866e-11,-0.410752,0,
0.8383,-1.06866e-11,-0.385827,0,
0.8484,-1.06866e-11,-0.362369,0,
0.8585,6.76458,88.2361,2.38717,
0.8686,2.04495,94.966,2.33245,
0.8787,1.46792,91.8347,2.19741,
0.8888,0.888698,89.0987,1.53112,
0.8989,-0.446882,85.384,1.75575,
0.909,-1.74849,82.402,2.15977,
0.9191,-3.52238,80.77,2.5608,
0.9292,-4.8905,79.2357,2.66945,
0.9393,-6.92196,78.8407,2.7308,
0.9494,-8.29424,77.381,2.91178,
0.9595,-8.9901,75.2779,2.83716,
0.9696,-9.21546,72.8176,2.7256,
0.9797,-9.09614,70.1533,2.60646,
0.9898,-9.0197,67.6269,2.49324,
0.9999,-9.13717,65.3302,2.36759,
1.01,-9.14039,63.5733,2.0225,
1.0201,-9.66342,63.0657,0.332757,
1.0302,-9.66748,62.481,-0.908735,
1.0403,-9.37928,61.0186,-1.46975,
1.0504,-9.02139,58.7536,-1.78245,
1.0605,-8.65355,56.3522,-1.84957,
1.0706,-8.41213,54.2468,-1.7222,
1.0807,-8.067,52.5871,-1.61864,
1.0908,-7.56768,50.3178,-1.48974,
1.1009,-7.03819,47.9613,-1.33374,
1.111,-6.58802,45.4697,-1.19272,
1.1211,-6.20005,42.7927,-1.12248,
1.1312,-5.83493,40.2734,-1.05637,
1.1413,-5.49131,37.9024,-0.994163,
1.1514,-5.16792,35.671,-0.935616,
1.1615,-4.50074,35.7563,-1.75662,
1.1716,-4.26724,34.6503,-1.69282,
1.1817,-4.20301,33.5877,-1.41107,
1.1918,-4.20221,32.6997,-1.18652,
1.2019,-4.26357,31.9506,-0.999758,
1.212,-4.37448,31.3211,-0.828146,
1.2221,-4.51704,30.7681,-0.633228,
1.2322,-4.68356,30.2777,-0.40845,
1.2423,-4.84335,29.777,-0.142102,
1.2524,-4.99755,29.2881,0.160697,
1.2625,-5.16495,28.8237,0.480367,
1.2726,-5.34825,28.4316,0.776992,
1.2827,-5.53014,28.0644,1.05765,
1.2928,-5.70427,27.7151,1.33063,
1.3029,-5.8685,27.3689,1.58562,
1.313,-6.02477,27.055,1.80834,
1.3231,-6.16527,26.7362,2.02899,
1.3332,-6.28971,26.432,2.23346,
1.3433,-6.40273,26.1543,2.40873,
1.3534,-6.50639,25.8894,2.57766,
1.3635,-6.59381,25.6238,2.73526,
1.3736,-6.66498,25.3684,2.87767,
1.3837,-6.71384,25.1106,2.99763,
1.3938,-6.75091,24.8593,3.10959,
1.4039,-6.78132,24.617,3.21122,
1.414,-6.80179,24.3816,3.3046,
1.4241,-6.81727,24.168,3.37981,
1.4342,-6.82974,23.9717,3.44973,
1.4443,-6.83519,23.7811,3.51139,
1.4544,-6.83979,23.5997,3.57365,
1.4645,-6.84462,23.4265,3.63215,
1.4746,-6.85677,23.285,3.68415,
1.4847,-6.87104,23.1533,3.73269,
1.4948,-6.88749,23.041,3.77932,
1.5049,-6.91147,22.9386,3.83064,
1.515,-6.94086,22.846,3.88509,
1.5251,-6.97746,22.7733,3.93388,
1.5352,-7.01154,22.704,3.98247,
1.5453,-7.04973,22.6432,4.03006,
1.5554,-7.09036,22.591,4.08254,
1.5655,-7.12927,22.5342,4.13454,
1.5756,-7.16829,22.4901,4.18393,
1.5857,-7.20504,22.45,4.22678,
1.5958,-7.24101,22.4146,4.26829,
1.6059,-7.27299,22.3744,4.30621,
1.616,-7.30211,22.3353,4.34869,
1.6261,-7.32376,22.2921,4.38218,
1.6362,-7.3426,22.2571,4.41049,
1.6463,-7.35655,22.2185,4.43192,
1.6564,-7.36666,22.1765,4.45505,
1.6665,-7.37351,22.1281,4.47724,
1.6766,-7.37662,22.083,4.49802,
1.6867,-7.37866,22.0447,4.50991,
1.6968,-7.38078,22.0163,4.51862,
1.7069,-7.38107,21.9859,4.52365,
1.717,-7.38067,21.953,4.5351,
1.7271,-7.37862,21.9182,4.54433,
1.7372,-7.37774,21.8925,4.55265,
1.7473,-7.3786,21.8713,4.55654,
1.7574,-7.38127,21.8566,4.56091,
1.7675,-7.38486,21.8378,4.56693,
1.7776,-7.39061,21.8224,4.57765,
1.7877,-7.39692,21.8062,4.58607,
1.7978,-7.40632,21.8011,4.59295,
1.8079,-7.41479,21.7935,4.5987,
1.818,-7.42409,21.7855,4.61114,
1.8281,-7.43611,21.7852,4.62018,
1.8382,-7.4485,21.7916,4.62747,
1.8483,-7.45756,21.7951,4.62907,
1.8584,-7.46598,21.7942,4.63662,
1.8685,-7.47495,21.7887,4.64608,
1.8786,-7.48428,21.7853,4.65736,
1.8887,-7.49066,21.7858,4.65823,
1.8988,-7.49647,21.7911,4.6589,
1.9089,-7.5007,21.7926,4.65708,
1.919,-7.50447,21.7859,4.66416,
1.9291,-7.50464,21.7739,4.66758,
1.9392,-7.50393,21.7678,4.66842,
1.9493,-7.50364,21.7657,4.66499,
1.9594,-7.50429,21.7677,4.66266,
1.9695,-7.50375,21.7656,4.66018,
1.9796,-7.5033,21.7628,4.65998,
1.9897,-7.50092,21.756,4.65658,
1.9998,-7.50008,21.7502,4.65676,
2.0099,-7.49882,21.7467,4.65279,
2.02,-7.49915,21.7484,4.65324,
2.0301,-7.49992,21.7509,4.65018,
2.0402,-7.5023,21.7616,4.64614,
2.0503,-7.50403,21.7655,4.64098,
2.0604,-7.50544,21.7662,4.64118,
2.0705,-7.50662,21.7627,4.64226,
2.0806,-7.50877,21.7628,4.64456,
2.0907,-7.51303,21.7689,4.64202,
2.1008,-7.51736,21.7805,4.63955,
2.1109,-7.52093,21.7887,4.63368,
2.121,-7.523,21.7907,4.63469,
2.1311,-7.52417,21.7861,4.63669,
2.1412,-7.52652,21.7895,4.638,
2.1513,-7.52897,21.7935,4.63456,
2.1614,-7.53095,21.8031,4.62925,
2.1715,-7.53219,21.8049,4.62598,
2.1816,-7.53313,21.8049,4.62846,
2.1917,-7.53334,21.804,4.62645,
2.2018,-7.5341,21.8092,4.62367,
2.2119,-7.53358,21.8145,4.61553,
2.222,-7.53322,21.817,4.61329,
2.2321,-7.53337,21.817,4.61146,
2.2422,-7.53285,21.818,4.61082,
2.2523,-7.53176,21.8202,4.60544,
2.2624,-7.53181,21.8262,4.60071,
2.2725,-7.53252,21.8303,4.59518,
2.2826,-7.5329,21.8327,4.59423,
2.2927,-7.53268,21.8332,4.59115,
2.3028,-7.53285,21.8401,4.58769,
2.3129,-7.53215,21.8412,4.58318,
2.323,-7.53389,21.8482,4.58057,
2.3331,-7.53508,21.8503,4.57692,
2.3432,-7.53519,21.8545,4.57585,
2.3533,-7.53533,21.8571,4.57193,
2.3634,-7.53713,21.8642,4.56947,
2.3735,-7.53857,21.8676,4.56576,
2.3836,-7.53946,21.8723,4.5641,
2.3937,-7.53992,21.8754,4.56038,
2.4038,-7.53983,21.8778,4.56005,
2.4139,-7.54055,21.8803,4.557,
2.424,-7.5419,21.8853,4.55529,
2.4341,-7.54256,21.8886,4.55054,
2.4442,-7.54245,21.893,4.54791,
2.4543,-7.54258,21.894,4.54516,
2.4644,-7.54232,21.8971,4.54423,
2.4745,-7.5425,21.8975,4.5414,
2.4846,-7.54267,21.9032,4.53867,
2.4947,-7.54259,21.9062,4.53288,
2.5048,-7.54245,21.9102,4.53081,
2.5149,-7.54163,21.9092,4.5287,
2.525,-7.54115,21.9129,4.52768,
2.5351,-7.54103,21.9141,4.52364,
2.5452,-7.54109,21.9183,4.52154,
2.5553,-7.54154,21.9216,4.51673,
2.5654,-7.54173,21.9251,4.51485,
2.5755,-7.54126,21.9248,4.51321,
2.5856,-7.54075,21.9289,4.51162,
2.5957,-7.54109,21.9307,4.50791,
2.6058,-7.54126,21.9351,4.50592,
2.6159,-7.54169,21.9373,4.50241,
2.626,-7.54203,21.9418,4.50124,
2.6361,-7.54155,21.9413,4.4991,
2.6462,-7.54172,21.9445,4.49842,
2.6563,-7.54233,21.9462,4.49565,
2.6664,-7.54246,21.9505,4.49356,
2.6765,-7.543,21.9518,4.48967,
2.6866,-7.54353,21.957,4.48835,
2.6967,-7.54236,21.9554,4.48671,
2.7068,-7.54186,21.958,4.48612,
2.7169,-7.54235,21.958,4.48352,
2.727,-7.54255,21.9603,4.48311,
2.7371,-7.5427,21.9621,4.47833,
2.7472,-7.54274,21.9657,4.47652,
2.7573,-7.54217,21.9644,4.47541,
2.7674,-7.54144,21.9661,4.47509,
2.7775,-7.54106,21.9666,4.47231,
2.7876,-7.54087,21.9707,4.47105,
2.7977,-7.54135,21.9714,4.46708,
2.8078,-7.54191,21.9771,4.46524,
2.8179,-7.54064,21.9759,4.46361,
2.828,-7.53929,21.9758,4.46375,
2.8381,-7.54052,21.9769,4.46181,
2.8482,-7.54032,21.9778,4.46181,
2.8583,-7.53967,21.9753,4.45946,
2.8684,-7.54098,21.9812,4.45675,
2.8785,-7.54109,21.9816,4.45399,
2.8886,-7.54059,21.9849,4.45394,
2.8987,-7.54056,21.9854,4.45171,
2.9088,-7.54021,21.9889,4.451,
2.9189,-7.53936,21.9875,4.44827,
2.929,-7.53994,21.9896,4.44802,
2.9391,-7.53986,21.9891,4.44488,
2.9492,-7.54017,21.992,4.44487,
2.9593,-7.54029,21.9942,4.44249,
2.9694,-7.53907,21.9957,4.44097,
2.9795,-7.53881,21.9955,4.43936,
2.9896,-7.53889,21.9968,4.44027,
2.9997,-7.53916,21.9973,4.43663,
3.0098,-7.53976,22.0037,4.43381,
3.0199,-7.53879,22.0051,4.43168,
3.03,-7.53738,22.0041,4.43284,
3.0401,-7.53726,22.0033,4.43074,
3.0502,-7.5363,22.0026,4.43144,
3.0603,-7.53593,21.9997,4.43055,
3.0704,-7.53798,22.0068,4.42952,
3.0805,-7.53862,22.0089,4.42439,
3.0906,-7.53813,22.0124,4.4222,
3.1007,-7.53696,22.0119,4.42183,
3.1108,-7.53531,22.0099,4.4231,
3.1209,-7.53561,22.0085,4.42145,
3.131,-7.53594,22.0101,4.42126,
3.1411,-7.53559,22.0083,4.41833,
3.1512,-7.53564,22.0112,4.41728,
3.1613,-7.535,22.0111,4.41594,
3.1714,-7.53464,22.012,4.41751,
3.1815,-7.53454,22.0125,4.41528,
3.1916,-7.53511,22.0163,4.41477,
3.2017,-7.53434,22.0141,4.41305,
3.2118,-7.53468,22.0159,4.41281,
3.2219,-7.53541,22.0164,4.40992,
3.232,-7.53458,22.0166,4.40945,
3.2421,-7.53386,22.0136,4.40851,
3.2522,-7.53377,22.0158,4.41015,
3.2623,-7.53334,22.0148,4.40858,
3.2724,-7.53395,22.0198,4.40688,
3.2825,-7.53391,22.0199,4.40428,
3.2926,-7.53445,22.0215,4.40376,
3.3027,-7.53409,22.0216,4.40197,
3.3128,-7.533,22.024,4.40119,
3.3229,-7.53094,22.0204,4.39917,
3.333,-7.53078,22.019,4.40079,
