Time,FP_FrontRight_Fx,FP_FrontRight_Fy,FP_FrontRight_Fz,
0.0101,-1.06866e-11,-57.7632,2.13731e-11,
0.0202,-1.06866e-11,-54.3608,2.13731e-11,
0.0303,-1.06866e-11,-51.1587,2.13731e-11,
0.0404,-1.06866e-11,-48.1452,2.13731e-11,
0.0505,-1.06866e-11,-45.3092,2.13731e-11,
0.0606,-1.06866e-11,-42.6402,2.13731e-11,
0.0707,-1.06866e-11,-40.1283,2.13731e-11,
0.0808,-1.06866e-11,-37.7644,2.13731e-11,
0.0909,-1.06866e-11,-35.5397,2.13731e-11,
0.101,-1.06866e-11,-33.446,1.06866e-11,
0.1111,-1.06866e-11,-31.4756,1.06866e-11,
0.1212,-1.06866e-11,-29.6213,1.06866e-11,
0.1313,-1.06866e-11,-27.8761,1.06866e-11,
0.1414,-1.06866e-11,-26.2338,1.06866e-11,
0.1515,-1.06866e-11,-24.6881,1.06866e-11,
0.1616,-1.06866e-11,-23.2335,1.06866e-11,
0.1717,-1.06866e-11,-21.8645,1.06866e-11,
0.1818,-1.06866e-11,-20.5762,1.06866e-11,
0.1919,-1.06866e-11,-19.3637,1.06866e-11,
0.202,-1.06866e-11,-18.2226,1.06866e-11,
0.2121,-1.06866e-11,-17.1487,1.06866e-11,
0.2222,-1.06866e-11,-16.1381,1.06866e-11,
0.2323,-1.06866e-11,-15.187,1.06866e-11,
0.2424,-1.06866e-11,-14.2919,1.06866e-11,
0.2525,-1.06866e-11,-13.4495,1.06866e-11,
0.2626,-1.06866e-11,-12.6567,-2.13731e-11,
0.2727,-1.06866e-11,-11.9106,-2.13731e-11,
0.2828,-1.06866e-11,-11.2085,-2.13731e-11,
0.2929,-1.06866e-11,-10.5477,-2.13731e-11,
0.303,-1.06866e-11,-9.92576,-2.13731e-11,
0.3131,-1.06866e-11,-9.34049,-2.13731e-11,
0.3232,-1.06866e-11,-8.78969,-2.13731e-11,
0.3333,1.68837,6.00902,-0.0137929,
0.3434,2.8824,24.608,-0.0110745,
0.3535,2.26099,26.565,-0.00761685,
0.3636,1.93371,26.4658,-0.00593156,
0.3737,1.61565,26.4461,-0.00442662,
0.3838,1.26145,26.8371,-0.00742363,
0.3939,0.935575,27.1568,-0.00760887,
0.404,0.681916,27.0563,-0.00711921,
0.4141,0.453789,26.8834,-0.00591191,
