Time,FP_RearLeft_Fx,FP_RearLeft_Fy,FP_RearLeft_Fz,
0.0101,3.52429e-12,-57.4577,0,
0.0202,3.52429e-12,-53.704,0,
0.0303,3.52429e-12,-50.1955,0,
0.0404,3.52429e-12,-46.9162,0,
0.0505,3.52429e-12,-43.851,0,
0.0606,3.52429e-12,-40.9861,0,
0.0707,3.52429e-12,-38.3082,0,
0.0808,3.52429e-12,-35.8053,0,
0.0909,3.52429e-12,-33.4658,0,
0.101,3.52429e-12,-31.2792,0,
0.1111,3.52429e-12,-29.2354,0,
0.1212,3.52429e-12,-27.325,0,
0.1313,3.52429e-12,-25.5395,0,
0.1414,3.52429e-12,-23.8705,0,
0.1515,3.52429e-12,-22.3106,0,
0.1616,3.52429e-12,-20.8526,0,
0.1717,3.52429e-12,-19.4898,0,
0.1818,3.52429e-12,-18.216,0,
0.1919,3.52429e-12,-17.0254,0,
0.202,3.52429e-12,-15.9125,0,
0.2121,3.52429e-12,-14.8724,0,
0.2222,3.52429e-12,-13.9002,0,
0.2323,3.52429e-12,-12.9915,0,
0.2424,3.52429e-12,-12.1421,0,
0.2525,3.52429e-12,-11.3482,0,
0.2626,3.52429e-12,-10.6062,0,
0.2727,3.52429e-12,-9.91264,0,
0.2828,3.52429e-12,-9.26437,0,
0.2929,3.52429e-12,-8.65845,0,
0.303,3.52429e-12,-8.0921,0,
0.3131,3.52429e-12,-7.56275,0,
0.3232,3.52429e-12,-7.06797,0,
0.3333,3.52429e-12,-6.60551,0,
0.3434,3.52429e-12,-6.17325,0,
0.3535,3.52429e-12,-5.76923,0,
0.3636,3.52429e-12,-5.39159,0,
0.3737,3.52429e-12,-5.03862,0,
0.3838,3.52429e-12,-4.70871,0,
0.3939,3.52429e-12,-4.40034,0,
0.404,3.52429e-12,-4.11211,0,
0.4141,3.52429e-12,-3.84271,0,
0.4242,3.52429e-12,-3.59091,0,
0.4343,3.52429e-12,-3.35555,0,
0.4444,3.52429e-12,-3.13557,0,
0.4545,3.52429e-12,-2.92995,0,
0.4646,3.52429e-12,-2.73776,0,
0.4747,3.52429e-12,-2.55813,0,
0.4848,3.52429e-12,-2.39023,0,
0.4949,3.52429e-12,-2.23329,0,
0.505,3.52429e-12,-2.08661,0,
0.5151,3.52429e-12,-1.9495,0,
0.5252,3.52429e-12,-1.82135,0,
0.5353,3.52429e-12,-1.70158,0,
0.5454,3.52429e-12,-1.58962,0,
0.5555,3.52429e-12,-1.48498,0,
0.5656,3.52429e-12,-1.38717,0,
0.5757,3.52429e-12,-1.29575,0,
0.5858,3.52429e-12,-1.2103,0,
0.5959,3.52429e-12,-1.13043,0,
0.606,3.52429e-12,-1.05578,0,
0.6161,3.52429e-12,-0.986007,0,
0.6262,3.52429e-12,-0.920789,0,
0.6363,3.52429e-12,-0.859831,0,
0.6464,3.52429e-12,-0.802855,0,
0.6565,3.52429e-12,-0.749599,0,
0.6666,3.52429e-12,-0.699823,0,
0.6767,3.52429e-12,-0.653297,0,
0.6868,3.52429e-12,-0.60981,0,
0.6969,3.52429e-12,-0.569164,0,
0.707,3.52429e-12,-0.531172,0,
0.7171,3.52429e-12,-0.495662,0,
0.7272,3.52429e-12,-0.462472,0,
0.7373,3.52429e-12,-0.431449,0,
0.7474,3.52429e-12,-0.402452,0,
0.7575,3.52429e-12,-0.375349,0,
0.7676,3.52429e-12,-0.350017,0,
0.7777,3.52429e-12,-0.326339,0,
0.7878,3.52429e-12,-0.304208,0,
0.7979,3.52429e-12,-0.283522,0,
0.808,3.52429e-12,-0.264187,0,
0.8181,3.52429e-12,-0.246115,0,
0.8282,3.52429e-12,-0.229224,0,
0.8383,3.52429e-12,-0.213435,0,
0.8484,19.8244,134.626,-27.9995,
0.8585,29.6697,132.318,-42.409,
0.8686,26.7935,123.676,-38.2984,
0.8787,24.1815,115.599,-34.5647,
0.8888,21.824,108.049,-31.195,
0.8989,19.6964,100.993,-28.1538,
0.909,17.7762,94.3974,-25.4091,
0.9191,16.0432,88.2327,-22.9319,
0.9292,14.4791,82.4705,-20.6963,
0.9393,13.0676,77.0848,-18.6786,
0.9494,11.7936,72.0508,-16.8576,
0.9595,10.6438,67.3456,-15.2142,
0.9696,9.60617,62.9477,-13.7309,
0.9797,8.66966,58.837,-12.3923,
0.9898,7.82446,54.9949,-11.1842,
0.9999,7.06165,51.4037,-10.0938,
1.01,6.37321,48.0471,-9.10978,
1.0201,-6.62365,51.1117,1.77618,
1.0302,-7.31518,48.5184,3.19682,
1.0403,-6.87533,46.4774,4.45532,
1.0504,-6.11755,44.8419,4.32477,
1.0605,-5.149,43.887,4.27648,
1.0706,-3.96001,43.1668,4.1537,
1.0807,-2.68089,42.559,3.91365,
1.0908,-1.43296,42.0011,3.59625,
1.1009,-0.265758,41.4726,3.2332,
1.111,0.819695,40.9728,2.84021,
1.1211,1.84171,40.5076,2.42549,
1.1312,2.8222,40.0841,1.99617,
1.1413,3.78041,39.708,1.56062,
1.1514,4.73063,39.3836,1.12832,
1.1615,5.61788,39.0837,0.689191,
1.1716,6.19891,38.7017,0.0285282,
1.1817,6.5084,38.2516,-0.823809,
1.1918,6.68971,37.7433,-1.81649,
1.2019,6.86146,37.2155,-2.85897,
1.212,7.09035,36.7488,-3.88683,
1.2221,7.34587,36.343,-4.902,
1.2322,7.58601,35.977,-5.89464,
1.2423,7.79187,35.6374,-6.84768,
1.2524,7.96883,35.3239,-7.73855,
1.2625,8.13075,35.041,-8.54277,
1.2726,8.29294,34.7939,-9.23816,
1.2827,8.46896,34.5866,-9.80715,
1.2928,8.67011,34.4221,-10.2371,
1.3029,8.90479,34.3023,-10.52,
1.313,9.17851,34.2284,-10.6528,
1.3231,9.49383,34.2006,-10.6368,
1.3332,9.85067,34.218,-10.4771,
1.3433,10.2467,34.2787,-10.1825,
1.3534,10.6779,34.3802,-9.76508,
1.3635,11.1385,34.5186,-9.23923,
1.3736,11.6218,34.6897,-8.62132,
1.3837,12.1202,34.8883,-7.92923,
1.3938,12.6257,35.1087,-7.18183,
1.4039,13.13,35.3449,-6.39857,
1.414,13.6246,35.5903,-5.59898,
1.4241,14.1014,35.8386,-4.80228,
1.4342,14.5471,36.068,-4.04785,
1.4443,14.9458,36.2809,-3.36254,
1.4544,15.2939,36.4771,-2.75105,
1.4645,15.593,36.6541,-2.21333,
1.4746,15.8454,36.8071,-1.74385,
1.4847,16.0534,36.9322,-1.33436,
1.4948,16.2206,37.0284,-0.976748,
1.5049,16.347,37.1008,-0.672352,
1.515,16.4362,37.1522,-0.421456,
1.5251,16.4878,37.1753,-0.21977,
1.5352,16.4833,37.109,-0.216477,
1.5453,16.4296,37.0805,-0.279621,
1.5554,16.3356,37.0284,-0.434846,
1.5655,16.2036,36.947,-0.686621,
1.5756,16.0323,36.8354,-1.02188,
1.5857,15.8237,36.6962,-1.42683,
1.5958,15.5832,36.5337,-1.8884,
1.6059,15.3175,36.3526,-2.39354,
1.616,15.0336,36.158,-2.92899,
1.6261,14.7389,35.9547,-3.48127,
1.6362,14.4407,35.7475,-4.0368,
1.6463,14.1454,35.5406,-4.58196,
1.6564,13.8607,35.3389,-5.10443,
1.6665,13.5921,35.1461,-5.5923,
1.6766,13.3449,34.9654,-6.03428,
1.6867,13.1238,34.7998,-6.4214,
1.6968,12.9325,34.6518,-6.74533,
1.7069,12.7739,34.5236,-7.00048,
1.717,12.6501,34.4165,-7.18215,
1.7271,12.5624,34.332,-7.28846,
1.7372,12.5109,34.2704,-7.31862,
1.7473,12.4949,34.2321,-7.27421,
1.7574,12.5132,34.2164,-7.15832,
1.7675,12.5636,34.2229,-6.97587,
1.7776,12.6437,34.2501,-6.73313,
1.7877,12.7499,34.2966,-6.43756,
1.7978,12.8788,34.3602,-6.09761,
1.8079,13.0261,34.4384,-5.72243,
1.818,13.1877,34.5289,-5.32194,
1.8281,13.3591,34.6288,-4.9064,
1.8382,13.5356,34.7351,-4.48605,
1.8483,13.7127,34.8446,-4.07081,
1.8584,13.8861,34.9544,-3.67013,
1.8685,14.0518,35.0615,-3.29286,
1.8786,14.2063,35.1633,-2.94702,
1.8887,14.3462,35.2571,-2.63966,
1.8988,14.469,35.3409,-2.37674,
1.9089,14.5722,35.4128,-2.16297,
1.919,14.6544,35.4714,-2.00183,
1.9291,14.7143,35.5155,-1.89531,
1.9392,14.7515,35.5446,-1.84417,
1.9493,14.7664,35.5588,-1.84794,
1.9594,14.7596,35.5582,-1.90492,
1.9695,14.7322,35.5434,-2.0122,
1.9796,14.6861,35.5156,-2.16578,
1.9897,14.6231,35.4761,-2.36069,
1.9998,14.5458,35.4263,-2.59113,
2.0099,14.4569,35.3681,-2.85063,
2.02,14.3591,35.3033,-3.13222,
2.0301,14.2556,35.234,-3.42863,
2.0402,14.1494,35.162,-3.73245,
2.0503,14.0437,35.0895,-4.0363,
2.0604,13.9412,35.0183,-4.33305,
2.0705,13.8449,34.9504,-4.61594,
2.0806,13.7572,34.8874,-4.87875,
2.0907,13.6804,34.8309,-5.11592,
