CombinedSpineCont... started logging at time 02242018_123943 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-64.6131,3.13575,-7.55,-64.6131,3.13575,7.55,-0.213145,3.13101,-7.55002,-0.213086,3.13101,7.54998,
0.0202,0,-64.8012,3.53723,-7.55,-64.8012,3.53724,7.55,-0.0712456,3.51591,-7.55003,-0.0711808,3.5159,7.54997,
0.0303,0,-65.0832,3.92437,-7.55,-65.0832,3.92437,7.55,0.135246,3.87887,-7.55003,0.135302,3.87887,7.54997,
0.0404,0,-65.3271,4.28746,-7.55,-65.3271,4.28746,7.55,0.374868,4.22872,-7.55003,0.374927,4.22872,7.54997,
0.0505,0,-65.4725,4.61264,-7.55,-65.4725,4.61264,7.55,0.625819,4.56164,-7.55001,0.625845,4.56166,7.54999,
0.0606,0,-65.5808,4.90985,-7.55001,-65.5808,4.90985,7.54999,0.815659,4.86467,-7.54997,0.815644,4.86472,7.55003,
0.0707,0,-65.6499,5.17508,-7.55001,-65.6499,5.17507,7.54999,0.950871,5.13765,-7.54977,0.950626,5.13785,7.55023,
0.0808,0,-65.6841,5.40518,-7.55001,-65.684,5.40518,7.54999,1.07176,5.3874,-7.54952,1.07113,5.38776,7.55048,
0.0909,0,-65.699,5.60045,-7.5501,-65.699,5.60035,7.5499,1.17573,5.61139,-7.54878,1.17433,5.6123,7.55122,
0.101,0,-65.7056,5.76312,-7.55029,-65.7056,5.76284,7.54971,1.25014,5.80201,-7.54758,1.24822,5.8039,7.55242,
0.1111,0,-65.7093,5.896,-7.55033,-65.7093,5.89568,7.54967,1.29136,5.95414,-7.54647,1.28895,5.95694,7.55353,
0.1212,0,-65.7088,5.99888,-7.55033,-65.7088,5.99856,7.54967,1.31059,6.0677,-7.54446,1.30745,6.07219,7.55554,
0.1313,0,-65.7021,6.07104,-7.55015,-65.7021,6.07089,7.54985,1.31791,6.147,-7.54237,1.31369,6.15318,7.55763,
0.1414,0,-65.6922,6.11328,-7.55,-65.6921,6.11328,7.55,1.3103,6.19362,-7.54168,1.30442,6.2001,7.55832,
0.1515,0,-65.678,6.126,-7.55001,-65.678,6.12598,7.54999,1.28771,6.20819,-7.54206,1.28003,6.21396,7.55793,
0.1616,0,-65.6604,6.10975,-7.55032,-65.6604,6.10945,7.54968,1.24984,6.19026,-7.54277,1.24061,6.19509,7.55722,
0.1717,0,-65.6396,6.06514,-7.55054,-65.6395,6.06462,7.54946,1.19991,6.14094,-7.54367,1.18911,6.14467,7.55632,
0.1818,0,-65.6099,5.99231,-7.55076,-65.6097,5.99158,7.54924,1.13956,6.06134,-7.54495,1.12714,6.06365,7.55504,
0.1919,0,-65.5649,5.89153,-7.55096,-65.5647,5.89062,7.54904,1.06736,5.95405,-7.5458,1.05333,5.95536,7.5542,
0.202,0,-65.5108,5.76871,-7.55115,-65.5104,5.76762,7.54885,0.988553,5.82573,-7.5462,0.973073,5.8265,7.55379,
0.2121,0,-65.4542,5.62996,-7.55133,-65.4538,5.6287,7.54867,0.906122,5.68153,-7.54575,0.88961,5.68264,7.55424,
0.2222,0,-65.3953,5.4779,-7.55151,-65.3947,5.4765,7.54849,0.82067,5.52467,-7.54549,0.80295,5.52593,7.5545,
0.2323,0,-65.3339,5.31423,-7.55168,-65.3333,5.31267,7.54832,0.732211,5.3568,-7.54535,0.713466,5.35816,7.55464,
0.2424,0,-65.2708,5.14042,-7.55182,-65.2691,5.1388,7.54818,0.638805,5.17924,-7.54514,0.622861,5.18117,7.55485,
0.2525,0,-65.202,4.95698,-7.55244,-65.1994,4.95486,7.54756,0.540907,4.9929,-7.54502,0.528355,4.99532,7.55498,
0.2626,0,-65.1236,4.76423,-7.55448,-65.1222,4.76015,7.54551,0.439084,4.79885,-7.5463,0.42686,4.80019,7.5537,
0.2727,0,-65.0392,4.56177,-7.5557,-65.0378,4.55658,7.5443,0.333453,4.5965,-7.54726,0.322248,4.59709,7.55274,
0.2828,0,-64.9519,4.35017,-7.55667,-64.9501,4.34413,7.54333,0.226079,4.38596,-7.54839,0.21551,4.38561,7.55161,
0.2929,0,-64.862,4.12958,-7.55746,-64.8596,4.12287,7.54253,0.11665,4.16729,-7.54985,0.105998,4.16566,7.55015,
0.303,0,-64.7688,3.89992,-7.55823,-64.7657,3.89259,7.54177,0.00372884,3.94016,-7.55148,-0.00639969,3.93728,7.54852,
0.3131,0,-64.6697,3.66113,-7.55873,-64.6656,3.65347,7.54127,-0.112105,3.70819,-7.55398,-0.115546,3.70492,7.54602,
0.3232,0,-64.5661,3.41868,-7.55858,-64.56,3.41133,7.54142,-0.206858,3.47793,-7.55545,-0.20635,3.47497,7.54455,
0.3333,0,-64.4633,3.18267,-7.55892,-64.456,3.1755,7.54108,-0.292407,3.25234,-7.55622,-0.290754,3.24958,7.54378,
0.3434,0,-64.3646,2.95598,-7.55989,-64.3587,2.94875,7.54011,-0.375631,3.03272,-7.55658,-0.373433,3.03016,7.54342,
