CombinedSpineCont... started logging at time 02242018_124041 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-64.6131,3.13575,-7.55,-64.6131,3.13575,7.55,-0.213363,3.13086,-7.55002,-0.213304,3.13086,7.54998,
0.0202,0,-64.8012,3.53723,-7.55,-64.8012,3.53724,7.55,-0.0714855,3.51558,-7.55003,-0.0714207,3.51558,7.54997,
0.0303,0,-65.0832,3.92437,-7.55,-65.0832,3.92437,7.55,0.134966,3.87838,-7.55003,0.135023,3.87838,7.54997,
0.0404,0,-65.3271,4.28747,-7.55,-65.3271,4.28747,7.55,0.374534,4.22806,-7.55003,0.374593,4.22806,7.54997,
0.0505,0,-65.4725,4.61267,-7.55,-65.4725,4.61266,7.55,0.625473,4.56083,-7.55001,0.6255,4.56084,7.54999,
0.0606,0,-65.5809,4.90989,-7.55001,-65.5809,4.90989,7.54999,0.815339,4.8637,-7.54997,0.815324,4.86375,7.55003,
0.0707,0,-65.65,5.17514,-7.55001,-65.65,5.17513,7.54999,0.950486,5.13652,-7.54977,0.950241,5.13671,7.55023,
0.0808,0,-65.6842,5.40527,-7.55001,-65.6841,5.40526,7.54999,1.07131,5.3861,-7.54952,1.07068,5.38646,7.55048,
0.0909,0,-65.6992,5.60057,-7.5501,-65.6992,5.60047,7.5499,1.17526,5.60994,-7.54878,1.17385,5.61084,7.55122,
0.101,0,-65.7057,5.76328,-7.55029,-65.7057,5.763,7.54971,1.24963,5.80041,-7.5476,1.24771,5.80228,7.5524,
0.1111,0,-65.7095,5.8962,-7.55032,-65.7095,5.89588,7.54968,1.29083,5.95239,-7.54649,1.28839,5.95517,7.55351,
0.1212,0,-65.709,5.99913,-7.55032,-65.7091,5.99882,7.54968,1.31002,6.06581,-7.54448,1.30686,6.07028,7.55552,
0.1313,0,-65.7024,6.07135,-7.55016,-65.7024,6.07119,7.54984,1.31731,6.14497,-7.54239,1.31307,6.15113,7.55761,
0.1414,0,-65.6925,6.11364,-7.55,-65.6925,6.11363,7.55,1.30967,6.19146,-7.5417,1.30376,6.19792,7.5583,
