CombinedSpineCont... started logging at time 02242018_124133 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.1,0,-65.7052,5.74851,-7.55028,-65.7052,5.74823,7.54972,1.24376,5.78322,-7.54773,1.24188,5.78499,7.55227,
0.2,0,-65.5223,5.79513,-7.5511,-65.522,5.79408,7.5489,1.00376,5.8497,-7.54623,0.98849,5.85047,7.55376,
0.3,0,-64.7975,3.97002,-7.558,-64.7945,3.96288,7.542,0.0352712,4.00429,-7.55116,0.0243592,4.00152,7.54884,
0.4,0,-64.6392,2.75,-7.65313,-64.7028,2.7583,7.44674,-0.223249,2.75,-7.65452,-0.170081,2.75,7.44539,
0.5,0,-64.9293,2.75,-7.68026,-64.9746,2.75,7.41968,0.109687,2.75,-7.68283,0.145636,2.75,7.41713,
0.6,0,-65.0405,2.75001,-7.68044,-65.0535,2.74999,7.41955,0.217302,2.75,-7.68007,0.229742,2.74999,7.41992,
0.7,0,-65.0652,2.75,-7.67943,-65.0618,2.75,7.42057,0.227878,2.75,-7.68007,0.236786,2.75001,7.41992,
0.8,0,-65.0634,2.75001,-7.68116,-65.062,2.75,7.41884,0.223828,2.75,-7.67902,0.235159,2.75001,7.42098,
0.9,0,-65.0661,2.74999,-7.67902,-65.0597,2.75,7.42097,0.223872,2.75,-7.68057,0.235652,2.75,7.41943,
1,0,-65.0741,2.75001,-7.67661,-65.0637,2.75,7.42338,0.230178,2.75,-7.68305,0.24163,2.75,7.41694,
1.1,0,-65.0796,2.75,-7.67615,-65.0689,2.75,7.42385,0.232512,2.75,-7.68343,0.243303,2.75001,7.41657,
1.2,0,-65.0795,2.75,-7.6758,-65.0682,2.75,7.42419,0.232894,2.75,-7.68346,0.243227,2.75001,7.41653,
1.3,0,-65.0827,2.75,-7.67407,-65.0687,2.75,7.42592,0.234662,2.75,-7.68611,0.245714,2.74999,7.41388,
1.4,0,-65.0898,2.75,-7.67122,-65.0742,2.75,7.42877,0.238503,2.75,-7.68807,0.250345,2.75,7.41193,
1.5,0,-65.0929,2.75,-7.67097,-65.0768,2.75,7.42902,0.240965,2.75,-7.6882,0.251942,2.74999,7.4118,
1.6,0,-65.0928,2.75,-7.67071,-65.076,2.75,7.42928,0.241708,2.75,-7.6887,0.251904,2.75001,7.4113,
1.7,0,-65.0973,2.75,-7.66829,-65.078,2.75,7.4317,0.243556,2.75,-7.69123,0.25478,2.75001,7.40877,
1.8,0,-65.1028,2.75,-7.66659,-65.0826,2.75,7.4334,0.247925,2.74999,-7.6928,0.259102,2.75001,7.4072,
1.9,0,-65.1051,2.75001,-7.66646,-65.0845,2.74999,7.43352,0.249194,2.75,-7.69289,0.260015,2.75,7.40711,
2,0,-65.1055,2.75,-7.6659,-65.0842,2.75,7.43408,0.24977,2.75,-7.69348,0.260277,2.75001,7.40652,
2.1,0,-65.107,2.75,-7.66437,-65.086,2.75,7.43562,0.251124,2.75,-7.69578,0.264477,2.75001,7.40422,
2.2,0,-65.1077,2.75,-7.66375,-65.0921,2.75,7.43625,0.249781,2.75,-7.69655,0.269938,2.74999,7.40344,
2.3,0,-65.1052,2.75,-7.66464,-65.1039,2.75,7.43536,0.242792,2.75,-7.69828,0.276107,2.75001,7.40169,
2.4,0,-65.1007,2.74999,-7.67034,-65.1287,2.75,7.42964,0.233835,2.75,-7.70086,0.287338,2.75001,7.39905,
2.5,0,-65.0985,2.75,-7.67978,-65.1741,2.75,7.42003,0.224532,2.75,-7.70645,0.311188,2.75,7.39331,
2.6,0,-65.0945,2.75,-7.68788,-65.2091,2.75,7.41169,0.21453,2.75,-7.71158,0.33844,2.75001,7.38791,
2.7,0,-65.0769,2.75,-7.68661,-65.223,2.75,7.41269,0.204118,2.75,-7.7163,0.35919,2.75001,7.3829,
2.8,0,-65.072,2.75,-7.69605,-65.2658,2.75,7.4027,0.19421,2.75,-7.72255,0.386706,2.75,7.37622,
2.9,0,-65.0686,2.75,-7.7058,-65.3239,2.75,7.39205,0.18333,2.74999,-7.72611,0.421543,2.75,7.37201,
3,0,-65.0649,2.74999,-7.71485,-65.3696,2.75,7.38207,0.171125,2.75,-7.72834,0.45423,2.74999,7.36901,
3.1,0,-65.0604,2.75,-7.72334,-65.4003,2.75,7.37283,0.160901,2.75,-7.73178,0.479556,2.75,7.36485,
3.2,0,-65.0567,2.75,-7.73243,-65.4341,2.75001,7.36285,0.151998,2.75,-7.73557,0.502903,2.75001,7.36035,
3.3,0,-65.0535,2.75,-7.74187,-65.4773,2.75,7.35218,0.142109,2.75,-7.73924,0.529464,2.75001,7.35579,
3.4,0,-65.0499,2.75001,-7.75122,-65.5236,2.75,7.34135,0.130956,2.74999,-7.74093,0.55605,2.75,7.35309,
3.5,0,-65.0459,2.75,-7.76055,-65.5671,2.75001,7.33046,0.119749,2.74999,-7.74297,0.58558,2.75,7.34984,
3.6,0,-65.042,2.75,-7.76993,-65.6135,2.75,7.31925,0.10951,2.74999,-7.74592,0.617322,2.75,7.34554,
3.7,0,-65.0387,2.75,-7.77933,-65.6586,2.75,7.30794,0.0982325,2.74999,-7.74859,0.645954,2.75,7.34147,
3.8,0,-65.0354,2.75001,-7.78864,-65.7013,2.75001,7.29667,0.0874965,2.75,-7.75027,0.669528,2.75,7.33851,
3.9,0,-65.0316,2.75,-7.79785,-65.7382,2.74999,7.28561,0.0770317,2.75,-7.75222,0.694936,2.75,7.33514,
4,0,-65.028,2.75,-7.80718,-65.7794,2.75,7.27411,0.0667075,2.75,-7.75455,0.723678,2.75,7.33115,
4.1,0,-65.0249,2.75001,-7.81651,-65.8254,2.74999,7.26226,0.0562973,2.74999,-7.75454,0.752293,2.75,7.32941,
4.2,0,-65.0212,2.75,-7.82525,-65.8708,2.75,7.25083,0.0458551,2.75,-7.75173,0.779068,2.75,7.33046,
4.3,0,-65.017,2.75,-7.83354,-65.9167,2.74999,7.23963,0.0362094,2.75,-7.74897,0.807519,2.75,7.33132,
4.4,0,-65.0132,2.75001,-7.84242,-65.9572,2.75,7.22804,0.0264739,2.74999,-7.7461,0.83594,2.75,7.33219,
4.5,0,-65.0095,2.75001,-7.85111,-66.0001,2.75,7.21636,0.0168107,2.75,-7.74278,0.860802,2.75,7.33361,
